模型,QLIKE,MSE(sig2 vs r2),MAE(sig vs |r|),平均预测波动率%
GJR-t,0.5117794983549371,1.5280286358173423,0.47809107750338403,0.827689288191144
GARCH-N,0.5291244097524278,1.3921958950955131,0.4877734340021832,0.834704408546605
EGARCH-t,0.5292424424963712,1.4276841520556103,0.469735327385086,0.8083382520325184
GARCH-t,0.5322037451290709,1.3835698229102245,0.4846358997472517,0.8280118043492355
Baseline-30d,0.6072564322248047,1.3585013056563549,0.4725032947903466,0.7604394306351161
