模型,logLik,AIC,BIC,gamma(杠杆),gamma_t值,gamma_p值,nu(t自由度)
GARCH-N,-2100.910906091346,4209.821812182692,4231.095970376964,,,,
GARCH-t,-2067.2120611948158,4144.4241223896315,4171.016820132471,,,,6.664591018904951
GJR-t,-2044.858525972902,4101.717051945804,4133.628289237212,0.25582436274857967,4.946720540286995,7.547420872360299e-07,6.650803788620412
EGARCH-t,-2040.0824478455663,4092.1648956911326,4124.07613298254,-0.18103839496250626,-9.077581173117816,1.110144264517411e-19,6.746807373046992
