Date,realized_vol_proxy,garch_forecast,baseline_forecast,garch_error,baseline_error
2023-10-18,1.341466657426145,0.7644506623448527,0.7447234167223601,-0.5770159950812922,-0.5967432407037848
2023-10-19,0.8825353023097011,0.7644506623448527,0.7722861654230831,-0.11808463996484841,-0.11024913688661797
2023-10-20,1.2364174862441184,0.7644506623448527,0.7843966766860805,-0.4719668238992657,-0.4520208095580379
2023-10-23,0.1734658377091991,0.7644506623448527,0.8078615990045107,0.5909848246356536,0.6343957612953116
2023-10-24,0.7511038454311865,0.7644506623448527,0.7924900016103372,0.013346816913666237,0.04138615617915076
2023-10-25,1.4456182027400664,0.9320889803088188,0.8082939190112425,-0.5135292224312475,-0.6373242837288239
2023-10-26,1.20468888813264,0.9320889803088188,0.8395960490464365,-0.27259990782382126,-0.3650928390862036
2023-10-27,0.4542965837289336,0.9320889803088188,0.8333780343289088,0.4777923965798852,0.37908145059997517
2023-10-30,1.1884738553441896,0.9320889803088188,0.8154591783339578,-0.2563848750353708,-0.37301467701023183
2023-10-31,0.6260832234906141,0.9320889803088188,0.8555623442232564,0.30600575681820474,0.22947912073264232
2023-11-01,1.0608151112999182,1.0052024028999984,0.8693283232720204,-0.05561270839991983,-0.19148678802789787
2023-11-02,1.898316480812128,1.0052024028999984,0.8868923827631381,-0.8931140779121296,-1.01142409804899
2023-11-03,0.9081867824073572,1.0052024028999984,0.9115167180809203,0.09701562049264123,0.0033299356735631003
2023-11-06,0.2297848128515139,1.0052024028999984,0.9254519204461878,0.7754175900484845,0.695667107594674
2023-11-07,0.2842148197017886,1.0052024028999984,0.9233627056556203,0.7209875831982098,0.6391478859538318
2023-11-08,0.0732071353643739,0.9531242177703112,0.8792257226626271,0.8799170824059372,0.8060185872982533
2023-11-09,0.7829398676411371,0.9531242177703112,0.8791873708186537,0.1701843501291741,0.09624750317751662
2023-11-10,1.5484357898932284,0.9531242177703112,0.8880175455013485,-0.5953115721229172,-0.6604182443918799
2023-11-13,0.0953778993918764,0.9531242177703112,0.9276025977945833,0.8577463183784348,0.832224698402707
2023-11-14,1.9215188987939311,0.9531242177703112,0.9279488318555099,-0.9683946810236199,-0.9935700669384212
2023-11-15,0.2114567108583223,1.1791574616389795,0.9440223041904537,0.9677007507806572,0.7325655933321314
2023-11-16,0.1222555144886774,1.1791574616389795,0.9389547118236742,1.056901947150302,0.8166991973349967
2023-11-17,0.1243049783076487,1.1791574616389795,0.938066020787088,1.0548524833313309,0.8137610424794393
2023-11-20,0.7668080089087327,1.1791574616389795,0.9194929283432889,0.4123494527302468,0.1526849194345562
2023-11-21,0.2182011524532829,1.1791574616389795,0.9220910714070304,0.9609563091856966,0.7038899189537475
2023-11-22,0.3853608689301028,0.8065043754183316,0.9221595756642936,0.42114350648822885,0.5367987067341908
2023-11-24,0.0615071276356298,0.8065043754183316,0.9219345766712342,0.7449972477827018,0.8604274490356044
2023-11-27,0.1802523214918668,0.8065043754183316,0.9111450636363624,0.6262520539264649,0.7308927421444956
2023-11-28,0.0989652740179989,0.8065043754183316,0.9049967375960044,0.7075391014003327,0.8060314635780055
2023-11-29,0.0703610783534767,0.8065043754183316,0.8898613324653514,0.7361432970648549,0.8195002541118747
2023-11-30,0.3929557239648151,0.5978738881835294,0.8903142723169307,0.20491816421871428,0.4973585483521156
2023-12-01,0.5898571591790132,0.5978738881835294,0.84606523014007,0.008016729004516221,0.2562080709610568
2023-12-04,0.5263241339572857,0.5978738881835294,0.823693944095935,0.07154975422624366,0.29736981013864927
2023-12-05,0.0197144951878703,0.5978738881835294,0.7891003294082172,0.5781593929956591,0.7693858342203469
2023-12-06,0.403791323216619,0.5978738881835294,0.7866179513653625,0.1940825649669104,0.3828266281487435
2023-12-07,0.7601393296371962,0.6150732055826855,0.7907562752346788,-0.1450661240545107,0.030616945597482625
2023-12-08,0.4290169755666185,0.6150732055826855,0.7291152745398156,0.18605623001606703,0.3000982989731971
2023-12-11,0.3881712400901704,0.6150732055826855,0.6707674187439904,0.22690196549251512,0.28259617865382
2023-12-12,0.4557019062631744,0.6150732055826855,0.6527044820973071,0.1593712993195111,0.19700257583413272
2023-12-13,1.369584568870248,0.6150732055826855,0.6353681750718881,-0.7545113632875624,-0.7342163937983598
2023-12-14,0.3204293240966135,0.8042096482826299,0.6598124604566789,0.48378032418601635,0.33938313636006534
2023-12-15,0.164801970615235,0.8042096482826299,0.6476994663710706,0.6394076776673949,0.48289749575583557
2023-12-18,0.5609459994911083,0.8042096482826299,0.5862356046025597,0.24326364879152151,0.025289605111451396
2023-12-19,0.6062399349302928,0.8042096482826299,0.5771575737536272,0.19796971335233704,-0.029082361176665628
2023-12-20,1.3954104579225075,0.8042096482826299,0.5799392960966963,-0.5912008096398776,-0.8154711618258113
2023-12-21,0.9437141394985028,0.922880066365191,0.6574435932084098,-0.02083407313331176,-0.28627054629009296
2023-12-22,0.2007646898335441,0.922880066365191,0.6687440186213638,0.7221153765316469,0.46797932878781967
2023-12-26,0.4213843717159928,0.922880066365191,0.6386036180489565,0.5014956946491982,0.2172192463329637
2023-12-27,0.1806402232375962,0.922880066365191,0.5946381454364983,0.7422398431275948,0.4139979221989021
