Date,GARCH-N,GARCH-t,GJR-t,EGARCH-t,Baseline-30d,realized_abs_r,r2
2023-10-18,0.7644506623448527,0.7586123817567914,0.744265218436276,0.8250308014618598,0.7447234167223601,1.341466657426145,1.799532792986074
2023-10-19,0.7644506623448527,0.7586123817567914,0.744265218436276,0.8250308014618598,0.7722861654230831,0.8825353023097011,0.7788685598228755
2023-10-20,0.7644506623448527,0.7586123817567914,0.744265218436276,0.8250308014618598,0.7843966766860805,1.2364174862441184,1.5287282002902247
2023-10-23,0.7644506623448527,0.7586123817567914,0.744265218436276,0.8250308014618598,0.8078615990045107,0.1734658377091991,0.0300903968521542
2023-10-24,0.7644506623448527,0.7586123817567914,0.744265218436276,0.8250308014618598,0.7924900016103372,0.7511038454311865,0.5641569866215157
2023-10-25,0.9320889803088188,0.9346772221504005,1.0519778238041793,1.1512878057359637,0.8082939190112425,1.4456182027400664,2.0898119880934196
2023-10-26,0.9320889803088188,0.9346772221504005,1.0519778238041793,1.1512878057359637,0.8395960490464365,1.20468888813264,1.4512753171902566
2023-10-27,0.9320889803088188,0.9346772221504005,1.0519778238041793,1.1512878057359637,0.8333780343289088,0.4542965837289336,0.20638538598778
2023-10-30,0.9320889803088188,0.9346772221504005,1.0519778238041793,1.1512878057359637,0.8154591783339578,1.1884738553441896,1.4124701048366817
2023-10-31,0.9320889803088188,0.9346772221504005,1.0519778238041793,1.1512878057359637,0.8555623442232564,0.6260832234906141,0.3919802027363982
2023-11-01,1.0052024028999984,1.011031421654266,1.0976779116395206,1.2266838862971168,0.8693283232720204,1.0608151112999182,1.1253287003622578
2023-11-02,1.0052024028999984,1.011031421654266,1.0976779116395206,1.2266838862971168,0.8868923827631381,1.898316480812128,3.6036054613229425
2023-11-03,1.0052024028999984,1.011031421654266,1.0976779116395206,1.2266838862971168,0.9115167180809203,0.9081867824073572,0.8248032317394284
2023-11-06,1.0052024028999984,1.011031421654266,1.0976779116395206,1.2266838862971168,0.9254519204461878,0.2297848128515139,0.052801060217205265
2023-11-07,1.0052024028999984,1.011031421654266,1.0976779116395206,1.2266838862971168,0.9233627056556203,0.2842148197017886,0.08077806373812019
2023-11-08,0.9531242177703112,0.956268274053084,0.8119070669072853,0.8521618525459168,0.8792257226626271,0.0732071353643739,0.005359284668257763
2023-11-09,0.9531242177703112,0.956268274053084,0.8119070669072853,0.8521618525459168,0.8791873708186537,0.7829398676411371,0.6129948363419213
2023-11-10,0.9531242177703112,0.956268274053084,0.8119070669072853,0.8521618525459168,0.8880175455013485,1.5484357898932284,2.397653395422266
2023-11-13,0.9531242177703112,0.956268274053084,0.8119070669072853,0.8521618525459168,0.9276025977945833,0.0953778993918764,0.009096943692406895
2023-11-14,0.9531242177703112,0.956268274053084,0.8119070669072853,0.8521618525459168,0.9279488318555099,1.9215188987939311,3.6922348784222416
2023-11-15,1.1791574616389795,1.1554559386738816,0.7922520989949784,0.7735923549012611,0.9440223041904537,0.2114567108583223,0.04471394056702012
